Target,Group,PC,Variable,mean,std,CV
reads,Major,PC1,Fe2O3,0.45207178030680356,0.020755173448922845,0.04591123435052087
reads,Major,PC1,K2O,0.4829655391082837,0.008983720038672363,0.01860116159686946
reads,Major,PC1,MgO,0.33274526503692586,0.05602811600705982,0.16838140732323326
reads,Major,PC1,Na2O,0.23834963224736988,0.03568533205695236,0.1497184271713771
reads,Major,PC1,SiO2,-0.3378511525314042,0.03474812171176104,0.10285038677951855
reads,Major,PC2,Al2O3,-0.04399972280736258,0.04971760787881202,1.129952752122626
reads,Major,PC2,CaO,-0.2636036478756236,0.169431828991096,0.6427522166576358
reads,Major,PC2,Fe2O3,-0.10803134664112905,0.05316079610714541,0.49208676703569243
reads,Major,PC2,K2O,-0.2072632796510455,0.07098374571167473,0.34248105033938014
reads,Major,PC2,MgO,-0.45860038074289894,0.06266625230621864,0.13664675158948605
reads,Major,PC2,Na2O,0.6378599353343286,0.018432935174180595,0.02889809212506682
reads,Major,PC2,SiO2,-0.46103511496957683,0.10935523996655203,0.23719503442545423
reads,Organic,PC1,C,0.5563309856650347,0.014293131920751018,0.025691777537188754
reads,Organic,PC1,Chlorophyll a,-0.2037039632548431,0.05890664094286857,0.2891776870790365
reads,Organic,PC1,Cl,-0.03273783511687952,0.08914846963227757,2.7231021634143704
reads,Organic,PC1,Depth,-0.1371704602489428,0.08073374069391204,0.5885650638438699
reads,Organic,PC1,N,0.5601678710592861,0.014713549504546978,0.026266321695179392
reads,Organic,PC1,P,-0.057168408276171555,0.04755320948524914,0.8318092267940554
reads,Organic,PC1,S1,0.53808960580536,0.008574942386733484,0.01593590044152469
reads,Organic,PC1,S2,0.06078287439830508,0.05325619262758409,0.876171012884332
reads,Organic,PC2,C,-0.05294836346963746,0.05327485161273921,1.0061661611749146
reads,Organic,PC2,Chlorophyll a,0.27311906274463504,0.09162635811846721,0.33548137284045015
reads,Organic,PC2,Cl,0.5268785148013402,0.04071538660314687,0.07727661208295546
reads,Organic,PC2,Depth,-0.34826887410285373,0.0828516949642524,0.2378957785925593
reads,Organic,PC2,N,-0.08646292065344066,0.053431752260644304,0.6179730207681582
reads,Organic,PC2,P,-0.18064571342559255,0.11142287379862449,0.6168033090058307
reads,Organic,PC2,S1,0.09651958485997386,0.0463452716759802,0.48016443236070455
reads,Organic,PC2,S2,0.6661863981578311,0.030461076183849925,0.04572455437109235
reads,Sediment,PC1,Clay Content,0.08976427319258104,0.10719353033488888,1.1941669722531476
reads,Sediment,PC1,Grain Size,0.3771147516551392,0.03478717800635048,0.0922456039008582
reads,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534295,0.026020442677349803
reads,Sediment,PC1,Sand Content,0.34067045396458234,0.037731211004405255,0.1107557481586823
reads,Sediment,PC1,Silt Content,-0.34408347776436543,0.04553977117583635,0.13235093841681875
reads,Sediment,PC1,Skewness,-0.4109245449976161,0.03431894868123257,0.08351642436309485
reads,Sediment,PC1,Sorting,0.47403955083189686,0.002160140150315282,0.004556877472616852
reads,Sediment,PC2,Clay Content,0.6655177269781033,0.051273241002481096,0.07704263751965855
reads,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725159,0.15706215121566477
reads,Sediment,PC2,Kurtosis,-0.16234608640514261,0.04953440243952291,0.30511608586552175
reads,Sediment,PC2,Sand Content,-0.4209454278066217,0.059142081664943,0.14049821605881013
reads,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594771,0.3078640361105802
reads,Sediment,PC2,Skewness,-0.16372757323350895,0.09670848780466516,0.5906670812663858
reads,Sediment,PC2,Sorting,-0.02172649217861188,0.03679167995316478,1.693401753522985
reads,Trace,PC1,As,-0.029062569462479104,0.08591396965753906,2.956172535551521
